,train_no,train_name,source,destination,train_link
6562,15020,Nautanwa - Gorakhpur Express,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-express-2950.html
6563,55040,Nautanwa - Gorakhpur Passenger,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-4217.html
6564,15106,Nautanwa Chhapra Intercity Express,Nautanwa,Chhapra,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-chhapra-intercity-express-2960.html
6565,18202,Nautanwa Durg Express,Nautanwa,Durg Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-durg-express-552.html
6566,18206,Nautanwa Durg Express,Nautanwa,Durg Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-durg-express-553.html
6567,75014,Nautanwa Gorakhpur  DEMU,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-demu-8555.html
6568,75016,Nautanwa Gorakhpur  DEMU,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-demu-8188.html
6569,55097,Nautanwa Gorakhpur Mela Special,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-mela-special-10259.html
6570,55044,Nautanwa Gorakhpur Passenger,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-4221.html
6571,55052,Nautanwa Gorakhpur Passenger,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-4227.html
6572,55142,Nautanwa Gorakhpur Passenger,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-4279.html
6573,55058,Nautanwa Gorakhpur Passenger,Nautanwa,Nakaha Jungle,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-10183.html
6574,55060,Nautanwa Gorakhpur Passenger,Nautanwa,Gorakhpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-gorakhpur-passenger-10184.html
6575,03068,Nautanwa-Howrah Junction Special,Nautanwa,Howrah Junction,https://www.prokerala.com//travel/indian-railway/trains/nautanwa-howrah-junction-special-8420.html
6576,12656,Navjeevan Super Fast Express,Chennai Central,Ahmedabad Junction,https://www.prokerala.com//travel/indian-railway/trains/navjeevan-super-fast-express-1198.html
6577,12655,Navjeevan Super Fast Express,Ahmedabad Junction,Chennai Central,https://www.prokerala.com//travel/indian-railway/trains/navjeevan-super-fast-express-1199.html
6578,16687,Navyug Express,Mangalore Central,Shri Mata Vaishno Devi Katra,https://www.prokerala.com//travel/indian-railway/trains/navyug-express-1200.html
6579,16688,Navyug Express,Shri Mata Vaishno Devi Katra,Mangalore Central,https://www.prokerala.com//travel/indian-railway/trains/navyug-express-1201.html
6580,04608,Nawanshahr Doaba Sultanpur Lodhi Prakash Parv Special,Nawanshahr Doaba Junction,Sultanpur Lodi,https://www.prokerala.com//travel/indian-railway/trains/nawanshahr-doaba-sultanpur-lodhi-prakash-parv-special-10007.html
6581,18424,Nayagarh Bhubaneswar Seva Express,Nayagarh Town,Bhubaneshwar,https://www.prokerala.com//travel/indian-railway/trains/nayagarh-bhubaneswar-seva-express-9862.html
6582,58430,Nayagarh Khurda Road Passenger,Mahipur,Khurda Road Junction,https://www.prokerala.com//travel/indian-railway/trains/nayagarh-khurda-road-passenger-6061.html
6583,58432,Nayagarh Khurda Road Passenger,Mahipur,Khurda Road Junction,https://www.prokerala.com//travel/indian-railway/trains/nayagarh-khurda-road-passenger-8135.html
6584,77265,NDD Pass,Narasapur,Nidadavolu Junction,https://www.prokerala.com//travel/indian-railway/trains/ndd-pass-7245.html
6585,12875,Neelachal Express,Puri,Anand Vihar Terminus,https://www.prokerala.com//travel/indian-railway/trains/neelachal-express-1219.html
6586,12876,Neelachal Express,Anand Vihar Terminus,Puri,https://www.prokerala.com//travel/indian-railway/trains/neelachal-express-1220.html
6587,56580,Nelamangala - Bangalore Passenger,Nelamangala,Bangalore City Junction,https://www.prokerala.com//travel/indian-railway/trains/nelamangala-bangalore-passenger-4703.html
6588,76522,Nelamangala - Yesvantpur DMU,Nelamangala,Yesvantpur Junction,https://www.prokerala.com//travel/indian-railway/trains/nelamangala-yesvantpur-dmu-7140.html
6589,12632,Nellai Superfast Express,Tirunelveli Junction,Chennai Egmore,https://www.prokerala.com//travel/indian-railway/trains/nellai-superfast-express-1221.html
6590,12631,Nellai Superfast Express,Chennai Egmore,Tirunelveli Junction,https://www.prokerala.com//travel/indian-railway/trains/nellai-superfast-express-1222.html
6591,17237,Nellore Chennai Express,Nellore,Chennai Central,https://www.prokerala.com//travel/indian-railway/trains/nellore-chennai-express-9257.html
